Sl_No,Site Size,Type,Layout Details,Site_No,E to W,N to S,Total_Area (in sq.m),Lat,Long,Lat,Long,Google Maps Link,Layout,Block,Village,Survey.No.,"Contact Number - Site Information Coordinator
9am-5pm on working days",Rate Per Sq.Mtr in Rs.,Rate per sq.ft in Rs.,Total Area (in sq ft),Total Minimum Bid Price 
63,Regular,Corner,"Banashenkari 6th Stage, 7th  Block, Sompura",922,8.8,12,105.6,12.885517,77.499144,12.885517,77.499144,"https://www.google.com/maps?q=12.885517,77.499144",BANASHANKARI 6TH STAGE,7th,Sompura,26,9844916955,63000,5853,#REF!,#REF!
64,Regular,Corner,"Banashenkari 6th Stage, 7th  Block, Sompura",923,9.7,12,116.4,12.885438,77.499067,12.885438,77.499067,"https://www.google.com/maps?q=12.885438,77.499067",BANASHANKARI 6TH STAGE,7th,Sompura,26,9844916955,63000,5853,#REF!,#REF!
65,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1221,12,9,108,12.876659,77.507201,12.876659,77.507201,"https://www.google.com/maps?q=12.876659,77.507201",Banashankari 6th stage,5th,Hemmigepura,21,8147799282,69300,6438,#REF!,#REF!
66,Regular,Intermediate,"Banashenkari 6th Stage, 5th  Block, Hemmigepura",1222,9,12,108,12.876732,77.507236,12.876732,77.507236,"https://www.google.com/maps?q=12.876732,77.507236",Banashankari 6th stage,5th,Hemmigepura,21,8147799282,69300,6438,#REF!,#REF!
67,Odd,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1023,9,(12.00+8.50)/2,92.25,12.876758,77.50833,12.876758,77.50833,"https://www.google.com/maps?q=12.876758,77.50833",Banashankari 6th stage,5th,Lingadeeranhalli,21,8147799282,69300,6438,#REF!,#REF!
68,Odd,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1053,9,(6.00+8.50)/2,65.25,12.876746,77.508414,12.876746,77.508414,"https://www.google.com/maps?q=12.876746,77.508414",Banashankari 6th stage,5th,Lingadeeranhalli,21,8147799282,69300,6438,#REF!,#REF!
69,Regular,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1710,(23.00+5.00)/2,24,336,12.873465,77.507528,12.873465,77.507528,"https://www.google.com/maps?q=12.873465,77.507528",BANASHANKARI 6TH STAGE,5th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
70,Regular,Corner,"Banashenkari 6th Stage, 3rd  Block, Hemmigepura-2",1795,(29.00+12.00)/2,12,246,12.886849,77.513902,12.886849,77.513902,"https://www.google.com/maps?q=12.886849,77.513902",BANASHANKARI 6TH STAGE,3rd,Hemmigepura-2,100,8147799282,74500,6921,#REF!,#REF!
71,Odd,Corner,"Banashenkari 6th Stage, 1st Stage, Turahalli",448,12,(9.50+9.80)/2,115.8,12.893946,77.527255,12.893946,77.527255,"https://www.google.com/maps?q=12.893946,77.527255",BANASHANKARI 6TH STAGE,1st,Turahalli,28,8147799282,69000,6410,#REF!,#REF!
72,Regular,Intermediate,"Kumarswamy 2nd Stage, Govinayakanahalli",1910/A,9.1,12.1,110.11,12.898914,77.562846,12.898914,77.562846,"https://www.google.com/maps?q=12.898914,77.562846",KUMARASWAMY 2 ND STAGE,NA,Govinayakanahalli,31,8147799282,127000,11799,#REF!,#REF!
